country,date,magnitude,magnitude_unit,sign,target,subtarget,confidence,scoring_method,source_url,replication,implementation_first_quarter,implementation_last_quarter,delay_quarters
USA,1990-01-01,0.180183,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1990-01-01,1990-01-01,0
USA,1991-01-01,0.597826,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1991-01-01,1991-01-01,0
USA,1993-01-01,0.4,pct_gdp,-1,both,expenditure,1.0,manual,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/A-New-Action-Based-Dataset-of-Fiscal-Consolidation-25022,dglp_2011,1993-01-01,1993-10-01,0
USA,1993-07-01,1.024781,pct_gdp,1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1993-07-01,1993-07-01,0
USA,1993-10-01,0.59263,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,1993-10-01,1993-10-01,0
USA,1993-10-01,0.077939,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1993-10-01,1993-10-01,0
USA,1994-01-01,0.193894,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,1994-01-01,1994-01-01,0
USA,2000-01-01,0.017654,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,2000-01-01,2000-01-01,0
USA,2001-01-01,0.012,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2001-01-01,2001-01-01,0
USA,2002-01-01,0.797422,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,2002-01-01,2002-01-01,0
USA,2003-01-01,0.005,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2003-01-01,2003-01-01,0
USA,2003-07-01,2.857633,pct_gdp,-1,consumption,tax,1.0,manual,https://karelmertens.com/research/,mertens_ravn_2013,2003-07-01,2003-07-01,0
USA,2005-01-01,0.560309,pct_gdp,1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2010,2005-01-01,2005-01-01,0
USA,2017-01-01,0.012,pct_gdp,-1,consumption,tax,1.0,manual,https://eml.berkeley.edu/~dromer/papers/,romer_romer_2017,2017-01-01,2017-01-01,0
